Wavelength (nm),Condition Number
714.2857142857143,3.854002964080202e+29
715.5388471177945,3.840567249998178e+29
716.7919799498746,3.827201583809994e+29
718.045112781955,3.813905480039666e+29
719.2982456140351,3.8006784574044974e+29
720.5513784461152,3.787520038771749e+29
721.8045112781956,3.7744297511158315e+29
723.0576441102758,3.761407125475994e+29
724.3107769423559,3.748451696914533e+29
725.5639097744361,3.7355630044755146e+29
726.8170426065163,3.722740591143952e+29
728.0701754385965,3.709984003805508e+29
729.3233082706766,3.6972927932066536e+29
730.576441102757,3.684666513915305e+29
731.8295739348371,3.672104724281945e+29
733.0827067669172,3.659606986401163e+29
734.3358395989975,3.6471728660736996e+29
735.5889724310778,3.63480193276891e+29
736.8421052631579,3.62249375958766e+29
738.0952380952381,3.610247923225696e+29
739.3483709273183,3.5980640039374055e+29
740.6015037593985,3.585941585500027e+29
741.8546365914787,3.573880255178268e+29
743.107769423559,3.561879603689345e+29
744.3609022556392,3.549939225168417e+29
745.6140350877192,3.538058717134439e+29
746.8671679197995,3.526237680456393e+29
748.1203007518798,3.514475719319937e+29
749.3734335839599,3.502772441194409e+29
750.6265664160401,3.4911274568002414e+29
751.8796992481203,3.4795403800767335e+29
753.1328320802006,3.468010828150197e+29
754.3859649122807,3.4565384213024844e+29
755.6390977443609,3.445122782939853e+29
756.8922305764412,3.4337635395622175e+29
758.1453634085212,3.422460320732716e+29
759.3984962406015,3.4112127590476645e+29
760.6516290726819,3.4000204901068284e+29
761.904761904762,3.38888315248404e+29
763.1578947368421,3.377800387698155e+29
764.4110275689223,3.3667718401843214e+29
765.6641604010026,3.3557971572656076e+29
766.9172932330828,3.34487598912492e+29
768.1704260651629,3.334007988777247e+29
769.4235588972432,3.323192812042231e+29
770.6766917293232,3.312430117517032e+29
771.9298245614035,3.3017195665494945e+29
773.1829573934839,3.2910608232116455e+29
774.436090225564,3.280453554273445e+29
775.6892230576441,3.2698974291768726e+29
776.9423558897242,3.259392120010273e+29
778.1954887218046,3.248937301483003e+29
779.4486215538848,3.238532650900366e+29
780.7017543859649,3.228177848138813e+29
781.9548872180452,3.21787257562142e+29
783.2080200501252,3.207616518293648e+29
784.4611528822055,3.1974093635993584e+29
785.7142857142858,3.1872508014571144e+29
786.967418546366,3.177140524236713e+29
788.2205513784461,3.1670782267360045e+29
789.4736842105262,3.1570636061579524e+29
790.7268170426066,3.1470963620879453e+29
791.9799498746869,3.1371761964713706e+29
793.2330827067669,3.1273028135914173e+29
794.4862155388472,3.117475920047126e+29
795.7393483709274,3.107695224731694e+29
796.9924812030075,3.0979604388109928e+29
798.2456140350878,3.088271275702332e+29
799.498746867168,3.0786274510534693e+29
800.7518796992481,3.069028682721812e+29
802.0050125313282,3.0594746907538742e+29
803.2581453634086,3.0499651973649504e+29
804.5112781954889,3.0404999269189983e+29
805.7644110275689,3.031078605908753e+29
807.0175438596491,3.0217009629360372e+29
808.2706766917294,3.0123667286923045e+29
809.5238095238095,3.0030756359393762e+29
810.7769423558898,2.993827419490392e+29
812.03007518797,2.9846218161909602e+29
813.2832080200501,2.975458564900513e+29
814.5363408521303,2.966337406473858e+29
815.7894736842106,2.9572580837429325e+29
817.0426065162909,2.9482203414987413e+29
818.295739348371,2.939223926473496e+29
819.5488721804511,2.9302685873229413e+29
820.8020050125314,2.921354074608865e+29
822.0551378446115,2.9124801407817977e+29
823.3082706766918,2.903646540163891e+29
824.5614035087721,2.8948530289319835e+29
825.8145363408522,2.8860993651008346e+29
827.0676691729323,2.877385308506543e+29
828.3208020050125,2.8687106207901366e+29
829.5739348370929,2.8600750653813347e+29
830.827067669173,2.851478407482482e+29
832.0802005012531,2.842920414052643e+29
833.3333333333334,2.8344008537918717e+29
834.5864661654136,2.8259194971256417e+29
835.8395989974938,2.817476116189441e+29
837.092731829574,2.8090704848135176e+29
838.3458646616542,2.8007023785077936e+29
839.5989974937343,2.7923715744469344e+29
840.8521303258145,2.7840778514555647e+29
842.1052631578949,2.7758209899936447e+29
843.3583959899751,2.7676007721420034e+29
844.6115288220551,2.759416981587998e+29
845.8646616541354,2.751269403611341e+29
847.1177944862156,2.743157825070074e+29
848.3709273182958,2.7350820343866698e+29
849.624060150376,2.727041821534293e+29
850.8771929824562,2.7190369780231857e+29
852.1303258145363,2.711067296887209e+29
853.3834586466165,2.703132572670504e+29
854.6365914786969,2.695232601414307e+29
855.8897243107771,2.6873671806438823e+29
857.1428571428571,2.6795361093556028e+29
858.3959899749374,2.671739188004141e+29
859.6491228070176,2.663976218489816e+29
860.9022556390978,2.656247004146046e+29
862.155388471178,2.6485513497269392e+29
863.4085213032582,2.640889061395009e+29
864.6616541353383,2.6332599467090078e+29
865.9147869674185,2.6256638146118818e+29
867.1679197994988,2.6181004754188636e+29
868.4210526315791,2.6105697408056575e+29
869.6741854636591,2.603071423796768e+29
