Wavelength (nm),Dipole Moment Sphere 1 (C·m²/V),Dipole Moment Sphere 2 (C·m²/V)
686.7167919799499,6.2570493805059334e-24,6.2570493805059334e-24
687.9699248120302,6.25714391606532e-24,6.25714391606532e-24
689.2230576441102,6.257237940695197e-24,6.257237940695197e-24
690.4761904761905,6.257331458063185e-24,6.257331458063185e-24
691.7293233082708,6.2574244718041365e-24,6.2574244718041365e-24
692.982456140351,6.2575169855204594e-24,6.2575169855204594e-24
694.2355889724311,6.257609002782484e-24,6.257609002782484e-24
695.4887218045112,6.257700527128794e-24,6.257700527128794e-24
696.7418546365916,6.2577915620665634e-24,6.2577915620665634e-24
697.9949874686716,6.2578821110718985e-24,6.2578821110718985e-24
699.2481203007519,6.2579721775901494e-24,6.2579721775901494e-24
700.5012531328322,6.258061765036258e-24,6.258061765036258e-24
701.7543859649122,6.258150876795062e-24,6.258150876795062e-24
703.0075187969925,6.258239516221618e-24,6.258239516221618e-24
704.2606516290726,6.2583276866415165e-24,6.2583276866415165e-24
705.513784461153,6.258415391351186e-24,6.258415391351186e-24
706.7669172932331,6.258502633618205e-24,6.258502633618205e-24
708.0200501253132,6.2585894166815994e-24,6.2585894166815994e-24
709.2731829573936,6.25867574375214e-24,6.25867574375214e-24
710.5263157894736,6.258761618012644e-24,6.258761618012644e-24
711.7794486215539,6.2588470426182554e-24,6.2588470426182554e-24
713.0325814536342,6.258932020696744e-24,6.258932020696744e-24
714.2857142857143,6.259016555348782e-24,6.259016555348782e-24
715.5388471177945,6.259100649648222e-24,6.259100649648222e-24
716.7919799498746,6.259184306642387e-24,6.259184306642387e-24
718.045112781955,6.25926752935233e-24,6.25926752935233e-24
719.2982456140351,6.259350320773112e-24,6.259350320773112e-24
720.5513784461152,6.259432683874067e-24,6.259432683874067e-24
721.8045112781956,6.259514621599077e-24,6.259514621599077e-24
723.0576441102758,6.259596136866807e-24,6.259596136866807e-24
724.3107769423559,6.259677232570994e-24,6.259677232570994e-24
725.5639097744361,6.259757911580677e-24,6.259757911580677e-24
726.8170426065163,6.2598381767404654e-24,6.2598381767404654e-24
728.0701754385965,6.2599180308707775e-24,6.2599180308707775e-24
729.3233082706766,6.259997476768094e-24,6.259997476768094e-24
730.576441102757,6.260076517205195e-24,6.260076517205195e-24
731.8295739348371,6.260155154931406e-24,6.260155154931406e-24
733.0827067669172,6.260233392672823e-24,6.260233392672823e-24
734.3358395989975,6.2603112331325666e-24,6.2603112331325666e-24
735.5889724310778,6.260388678990995e-24,6.260388678990995e-24
736.8421052631579,6.260465732905947e-24,6.260465732905947e-24
738.0952380952381,6.260542397512959e-24,6.260542397512959e-24
739.3483709273183,6.2606186754254905e-24,6.2606186754254905e-24
740.6015037593985,6.2606945692351505e-24,6.2606945692351505e-24
741.8546365914787,6.260770081511909e-24,6.260770081511909e-24
743.107769423559,6.260845214804318e-24,6.260845214804318e-24
744.3609022556392,6.2609199716397256e-24,6.2609199716397256e-24
745.6140350877192,6.2609943545244796e-24,6.2609943545244796e-24
746.8671679197995,6.261068365944147e-24,6.261068365944147e-24
748.1203007518798,6.261142008363708e-24,6.261142008363708e-24
749.3734335839599,6.261215284227769e-24,6.261215284227769e-24
750.6265664160401,6.261288195960764e-24,6.261288195960764e-24
751.8796992481203,6.261360745967148e-24,6.261360745967148e-24
753.1328320802006,6.261432936631596e-24,6.261432936631596e-24
754.3859649122807,6.2615047703192e-24,6.2615047703192e-24
755.6390977443609,6.261576249375659e-24,6.261576249375659e-24
756.8922305764412,6.261647376127471e-24,6.261647376127471e-24
758.1453634085212,6.261718152882115e-24,6.261718152882115e-24
759.3984962406015,6.261788581928251e-24,6.261788581928251e-24
760.6516290726819,6.2618586655358854e-24,6.2618586655358854e-24
761.904761904762,6.2619284059565645e-24,6.2619284059565645e-24
763.1578947368421,6.261997805423556e-24,6.261997805423556e-24
764.4110275689223,6.262066866152014e-24,6.262066866152014e-24
765.6641604010026,6.2621355903391684e-24,6.2621355903391684e-24
766.9172932330828,6.262203980164489e-24,6.262203980164489e-24
768.1704260651629,6.2622720377898625e-24,6.2622720377898625e-24
769.4235588972432,6.26233976535976e-24,6.26233976535976e-24
770.6766917293232,6.2624071650014054e-24,6.2624071650014054e-24
771.9298245614035,6.26247423882494e-24,6.26247423882494e-24
773.1829573934839,6.2625409889235874e-24,6.2625409889235874e-24
774.436090225564,6.262607417373821e-24,6.262607417373821e-24
775.6892230576441,6.2626735262355075e-24,6.2626735262355075e-24
776.9423558897242,6.26273931755209e-24,6.26273931755209e-24
778.1954887218046,6.262804793350726e-24,6.262804793350726e-24
779.4486215538848,6.262869955642451e-24,6.262869955642451e-24
780.7017543859649,6.262934806422327e-24,6.262934806422327e-24
781.9548872180452,6.262999347669599e-24,6.262999347669599e-24
783.2080200501252,6.263063581347845e-24,6.263063581347845e-24
784.4611528822055,6.263127509405114e-24,6.263127509405114e-24
785.7142857142858,6.263191133774094e-24,6.263191133774094e-24
786.967418546366,6.263254456372232e-24,6.263254456372232e-24
788.2205513784461,6.263317479101893e-24,6.263317479101893e-24
789.4736842105262,6.263380203850507e-24,6.263380203850507e-24
790.7268170426066,6.26344263249069e-24,6.26344263249069e-24
791.9799498746869,6.263504766880399e-24,6.263504766880399e-24
793.2330827067669,6.263566608863062e-24,6.263566608863062e-24
794.4862155388472,6.263628160267724e-24,6.263628160267724e-24
795.7393483709274,6.2636894229091634e-24,6.2636894229091634e-24
796.9924812030075,6.263750398588037e-24,6.263750398588037e-24
798.2456140350878,6.263811089091016e-24,6.263811089091016e-24
799.498746867168,6.263871496190908e-24,6.263871496190908e-24
800.7518796992481,6.2639316216467765e-24,6.2639316216467765e-24
802.0050125313282,6.2639914672040964e-24,6.2639914672040964e-24
803.2581453634086,6.264051034594847e-24,6.264051034594847e-24
804.5112781954889,6.2641103255376665e-24,6.2641103255376665e-24
805.7644110275689,6.264169341737945e-24,6.264169341737945e-24
807.0175438596491,6.2642280848879726e-24,6.2642280848879726e-24
808.2706766917294,6.2642865566670484e-24,6.2642865566670484e-24
809.5238095238095,6.264344758741598e-24,6.264344758741598e-24
810.7769423558898,6.264402692765297e-24,6.264402692765297e-24
812.03007518797,6.264460360379184e-24,6.264460360379184e-24
813.2832080200501,6.2645177632117745e-24,6.2645177632117745e-24
814.5363408521303,6.2645749028791864e-24,6.2645749028791864e-24
815.7894736842106,6.264631780985235e-24,6.264631780985235e-24
817.0426065162909,6.26468839912156e-24,6.26468839912156e-24
818.295739348371,6.2647447588677254e-24,6.2647447588677254e-24
819.5488721804511,6.2648008617913444e-24,6.2648008617913444e-24
820.8020050125314,6.264856709448166e-24,6.264856709448166e-24
822.0551378446115,6.2649123033822036e-24,6.2649123033822036e-24
823.3082706766918,6.264967645125823e-24,6.264967645125823e-24
824.5614035087721,6.265022736199861e-24,6.265022736199861e-24
825.8145363408522,6.265077578113725e-24,6.265077578113725e-24
827.0676691729323,6.26513217236549e-24,6.26513217236549e-24
828.3208020050125,6.265186520442007e-24,6.265186520442007e-24
829.5739348370929,6.2652406238190056e-24,6.2652406238190056e-24
830.827067669173,6.265294483961183e-24,6.265294483961183e-24
832.0802005012531,6.265348102322316e-24,6.265348102322316e-24
833.3333333333334,6.265401480345347e-24,6.265401480345347e-24
834.5864661654136,6.265454619462487e-24,6.265454619462487e-24
835.8395989974938,6.265507521095312e-24,6.265507521095312e-24
837.092731829574,6.26556018665485e-24,6.26556018665485e-24
838.3458646616542,6.265612617541684e-24,6.265612617541684e-24
839.5989974937343,6.2656648151460346e-24,6.2656648151460346e-24
840.8521303258145,6.265716780847868e-24,6.265716780847868e-24
842.1052631578949,6.265768516016964e-24,6.265768516016964e-24
843.3583959899751,6.2658200220130275e-24,6.2658200220130275e-24
844.6115288220551,6.265871300185755e-24,6.265871300185755e-24
845.8646616541354,6.265922351874947e-24,6.265922351874947e-24
847.1177944862156,6.2659731784105815e-24,6.2659731784105815e-24
848.3709273182958,6.266023781112896e-24,6.266023781112896e-24
849.624060150376,6.266074161292483e-24,6.266074161292483e-24
850.8771929824562,6.266124320250367e-24,6.266124320250367e-24
852.1303258145363,6.266174259278094e-24,6.266174259278094e-24
853.3834586466165,6.266223979657809e-24,6.266223979657809e-24
854.6365914786969,6.26627348266234e-24,6.26627348266234e-24
855.8897243107771,6.2663227695552804e-24,6.2663227695552804e-24
857.1428571428571,6.266371841591066e-24,6.266371841591066e-24
858.3959899749374,6.2664207000150565e-24,6.2664207000150565e-24
859.6491228070176,6.266469346063615e-24,6.266469346063615e-24
860.9022556390978,6.266517780964184e-24,6.266517780964184e-24
862.155388471178,6.266566005935362e-24,6.266566005935362e-24
863.4085213032582,6.266614022186981e-24,6.266614022186981e-24
864.6616541353383,6.266661830920185e-24,6.266661830920185e-24
