Wavelength (nm),Sphere 1 |α1(λ)|
838.3458646616542,2.535311691201017e-20
839.5989974937343,2.5250241288489736e-20
840.8521303258145,2.5148605705296828e-20
842.1052631578949,2.5048182795581148e-20
843.3583959899751,2.4948946030168825e-20
844.6115288220551,2.485086968624329e-20
845.8646616541354,2.4753928817379354e-20
847.1177944862156,2.4658099224866824e-20
848.3709273182958,2.4563357430259114e-20
849.624060150376,2.446968064908996e-20
850.8771929824562,2.4377046765700722e-20
852.1303258145363,2.4285434309126083e-20
853.3834586466165,2.4194822429987885e-20
854.6365914786969,2.4105190878350197e-20
855.8897243107771,2.4016519982489222e-20
857.1428571428571,2.3928790628536568e-20
858.3959899749374,2.38419842409551e-20
859.6491228070176,2.3756082763808995e-20
860.9022556390978,2.3671068642791116e-20
862.155388471178,2.3586924807973486e-20
863.4085213032582,2.3503634657248437e-20
864.6616541353383,2.342118204042844e-20
865.9147869674185,2.333955124397537e-20
867.1679197994988,2.325872697633142e-20
868.4210526315791,2.31786943538241e-20
869.6741854636591,2.3099438887120766e-20
870.9273182957393,2.3020946468207584e-20
872.1804511278197,2.2943203357871282e-20
873.4335839598999,2.2866196173659935e-20
874.68671679198,2.2789911878303894e-20
875.9398496240602,2.2714337768575348e-20
877.1929824561404,2.263946146456915e-20
878.4461152882205,2.2565270899385736e-20
879.6992481203008,2.2491754309199698e-20
880.9523809523811,2.2418900223697498e-20
882.2055137844611,2.2346697456868806e-20
883.4586466165413,2.2275135098136455e-20
884.7117794486217,2.2204202503811293e-20
885.9649122807019,2.213388928885834e-20
887.218045112782,2.206418531896082e-20
888.4711779448622,2.199508070287076e-20
889.7243107769424,2.192656578503372e-20
890.9774436090225,2.1858631138476852e-20
892.2305764411028,2.1791267557949413e-20
893.4837092731831,2.172446605330581e-20
894.7368421052632,2.1658217843121278e-20
895.9899749373433,2.159251434853073e-20
897.2431077694237,2.1527347187282175e-20
898.4962406015039,2.146270816799647e-20
899.749373433584,2.139858928462437e-20
901.0025062656641,2.1334982711094213e-20
902.2556390977444,2.12718807961419e-20
903.5087719298245,2.1209276058317104e-20
